Frequency,Magnitude
0.00,1388.000000
1.35,1463.908630
2.69,1516.962066
4.04,1780.025162
5.38,2017.928132
6.73,2235.107221
8.07,2611.637442
9.42,2789.394430
10.77,3131.909973
12.11,3376.823171
13.46,3582.990636
14.80,3821.991744
16.15,4030.433424
17.50,4295.514412
18.84,4431.250695
20.19,4570.230653
21.53,4740.349311
22.88,4909.791087
24.22,4960.077592
25.57,5111.736355
26.92,5143.584286
28.26,5212.196831
29.61,5207.452088
30.95,5234.895670
32.30,5304.085448
33.65,5335.750076
34.99,5348.379553
36.34,5383.276574
37.68,5413.223772
39.03,5540.115994
40.37,5596.926501
41.72,5728.871377
43.07,5740.947613
44.41,5983.115104
45.76,6155.976328
47.10,6469.908185
48.45,6625.531890
49.80,6950.348342
51.14,7196.622224
52.49,7525.655097
53.83,7884.901654
55.18,8136.749572
56.52,8598.925698
57.87,8952.996405
59.22,9262.904357
60.56,9657.750787
61.91,10036.081469
63.25,10382.502856
64.60,10740.360495
65.95,11081.192573
67.29,11340.380168
68.64,11632.921262
69.98,12132.743332
71.33,12362.881416
72.67,12626.387697
74.02,12875.647870
75.37,13115.817538
76.71,13388.125741
78.06,13604.506715
79.40,13808.676513
80.75,14006.767472
82.10,14132.459092
83.44,14334.099483
84.79,14511.805006
86.13,14707.030740
87.48,14890.608925
88.82,14973.123817
90.17,15258.087391
91.52,15366.180227
92.86,15534.613620
94.21,15768.751538
95.55,15961.121322
96.90,16160.217111
98.25,16324.115987
99.59,16622.559577
100.94,16858.640284
102.28,17066.948380
103.63,17395.789181
104.97,17657.815476
106.32,17916.876076
107.67,18225.546555
109.01,18553.666018
110.36,18902.449225
111.70,19128.118536
113.05,19517.474096
114.40,19813.037728
115.74,20039.767793
117.09,20462.742757
118.43,20724.162013
119.78,20999.023167
121.12,21235.389194
122.47,21524.760871
123.82,21795.633175
125.16,22058.849303
126.51,22277.986463
127.85,22471.482869
129.20,22661.250259
130.55,22822.097021
131.89,23042.308034
133.24,23196.776672
134.58,23347.345537
135.93,23560.143491
137.27,23774.227705
138.62,23918.996956
139.97,24153.610222
141.31,24313.439816
142.66,24545.777828
144.00,24773.552268
145.35,25052.399360
146.69,25329.747825
148.04,25662.639766
149.39,25989.408349
150.73,26361.421416
152.08,26788.412304
153.42,27152.159017
154.77,27654.440375
156.12,28099.953107
157.46,28544.303439
158.81,29112.988270
160.15,29668.128702
161.50,30261.893095
162.84,30748.371637
164.19,31344.230478
165.54,31850.972126
166.88,32456.884337
168.23,32948.801045
169.57,33401.839468
170.92,33959.633607
172.27,34445.734190
173.61,34984.258271
174.96,35334.451031
176.30,35804.381939
177.65,36174.492466
178.99,36500.177267
180.34,36779.405554
181.69,37099.922465
183.03,37315.269724
184.38,37436.731397
185.72,37630.205582
187.07,37793.284517
188.42,37897.597355
189.76,37975.481903
191.11,38006.534389
192.45,38103.646414
193.80,38086.420270
195.14,38170.985613
196.49,38217.362403
197.84,38268.269573
199.18,38362.634443
200.53,38458.827555
201.87,38631.330036
203.22,38803.593488
204.57,39192.986157
205.91,39470.148066
207.26,39846.542371
208.60,40303.043475
209.95,40826.738758
211.29,41382.007487
212.64,41994.637155
213.99,42655.653229
215.33,43374.377915
216.68,44176.731292
218.02,45072.402272
219.37,45952.126003
220.72,46927.410507
222.06,47817.697819
223.41,48777.430457
224.75,49748.050646
226.10,50789.288861
227.44,51680.737490
228.79,52590.252984
230.14,53574.473263
231.48,54400.649436
232.83,55255.423839
234.17,56045.434533
235.52,56817.874400
236.87,57513.334759
238.21,58239.233059
239.56,58737.762873
240.90,59300.017575
242.25,59795.726664
243.59,60206.282888
244.94,60545.022622
246.29,60946.246034
247.63,61191.104103
248.98,61391.794870
250.32,61617.204650
251.67,61778.278241
253.02,61901.826923
254.36,62106.626056
255.71,62216.609968
257.05,62295.223427
258.40,62545.113700
259.74,62710.601735
261.09,63056.261644
262.44,63299.516468
263.78,63671.270174
265.13,64047.319509
266.47,64587.866825
267.82,65232.021510
269.17,65925.180582
270.51,66677.548077
271.86,67561.775052
273.20,68501.095133
274.55,69500.477474
275.89,70705.744310
277.24,71854.690063
278.59,73135.966238
279.93,74434.710388
281.28,75801.304111
282.62,77219.205234
283.97,78649.900407
285.31,80006.765837
286.66,81524.427628
288.01,82972.959100
289.35,84438.410844
290.70,85862.673126
292.04,87276.807753
293.39,88591.483964
294.74,89913.796700
296.08,91216.958079
297.43,92425.668219
298.77,93682.774823
300.12,94892.985720
301.46,95911.350011
302.81,96975.806536
304.16,98064.690548
305.50,99152.008893
306.85,100074.987831
308.19,101087.974102
309.54,102005.476192
310.89,103082.884413
312.23,104041.568171
313.58,105133.087936
314.92,106253.711341
316.27,107342.618142
317.61,108666.539232
318.96,109946.002400
320.31,111347.513907
321.65,112861.230900
323.00,114490.730264
324.34,116222.172704
325.69,118019.705287
327.04,119896.981883
328.38,122162.316989
329.73,124203.785681
331.07,126448.008895
332.42,128750.863926
333.76,131161.573762
335.11,133657.474997
336.46,136213.275028
337.80,138747.433955
339.15,141318.336012
340.49,143909.832041
341.84,146434.413638
343.19,149052.817568
344.53,151497.163635
345.88,154052.607693
347.22,156488.555652
348.57,158857.557150
349.91,161113.211379
351.26,163385.103720
352.61,165543.208688
353.95,167705.877048
355.30,169744.979934
356.64,171766.212930
357.99,173875.695129
359.34,175994.323313
360.68,178090.413999
362.03,180416.557462
